Order_ID,Customer_ID,City,Restaurant_ID,Restaurant_Name,Cuisine,Order_Value,Delivery_Time(mins),Customer_Rating,Delivery_Partner_ID,Delivery_Partner_Rating,Commission_Earned(%),Distance_km,App_Session_Duration(sec),Used_Promo,Campaign_ID,Payment_Mode,Delivery_Status,New_User,Order_DateTime
OID100000,CID7607,Hyderabad,RID87,Restaurant_125,Street Food,169.74,20,2.7,DID1558,,23.5,2.83,223,Yes,CAM14,Cash,Late,No,1/1/2023 0:00
OID100001,CID4633,Kolkata,RID79,Restaurant_49,Italian,118,14,2.9,DID4058,3.9,22.5,1.82,188,Yes,CAM12,Net Banking,Late,No,1/1/2023 1:00
OID100002,CID4001,Delhi,RID155,Restaurant_37,Biryani,506.91,48,2.9,DID2601,3.1,17,4.44,147,Yes,CAM2,Net Banking,Late,No,1/1/2023 2:00
OID100003,CID2125,Hyderabad,RID179,Restaurant_16,Continental,117.53,39,4.4,DID4263,4.8,19.5,6.87,193,No,CAM4,Net Banking,On Time,Yes,1/1/2023 3:00
OID100004,CID8672,Delhi,RID192,Restaurant_159,South Indian,344.15,41,2.3,DID4266,4.1,19.9,5.53,252,Yes,CAM19,Net Banking,On Time,No,1/1/2023 4:00
OID100005,CID5862,Jaipur,RID91,Restaurant_38,Chinese,465.6,39,3.4,DID4479,3.2,18.9,1.87,,No,CAM3,Credit Card,On Time,Yes,1/1/2023 5:00
OID100006,CID4495,Ahmedabad,RID183,Restaurant_46,Continental,427.78,34,3.3,DID3235,3,10.7,1.54,241,Yes,CAM16,UPI,On Time,Yes,1/1/2023 6:00
OID100007,CID6897,Kolkata,RID160,Restaurant_84,Fast Food,463.82,50,2.2,DID2208,4.3,19.8,0.5,162,No,CAM20,Credit Card,On Time,Yes,1/1/2023 7:00
OID100008,CID8173,Chennai,RID91,Restaurant_71,Continental,433.34,25,3.2,DID4932,,8.1,3.92,183,No,CAM6,UPI,Cancelled,Yes,1/1/2023 8:00
OID100009,CID5194,Ahmedabad,RID117,Restaurant_93,North Indian,591.83,33,3.5,DID3597,4,20.1,3.55,183,Yes,CAM1,Wallet,Cancelled,Yes,1/1/2023 9:00
OID100010,CID9585,Ahmedabad,RID188,Restaurant_12,Biryani,257.15,41,2.2,DID1590,4,17.4,5.53,151,Yes,CAM5,UPI,Late,No,1/1/2023 10:00
OID100011,CID4964,Delhi,RID130,Restaurant_141,Thai,298.45,16,3.5,DID2220,4,12.4,3.13,272,Yes,CAM12,Cash,Cancelled,No,1/1/2023 11:00
OID100012,CID6527,Indore,RID30,Restaurant_6,Bakery,284.1,69,4.9,DID3774,3.4,21.7,6.45,53,Yes,CAM5,Credit Card,On Time,No,1/1/2023 12:00
OID100013,CID3480,Lucknow,RID45,Restaurant_100,Italian,524.53,32,4.9,DID4633,4.8,14.9,5.81,362,Yes,CAM3,Net Banking,On Time,Yes,1/1/2023 13:00
OID100014,CID7892,Delhi,RID115,Restaurant_158,South Indian,535.06,34,3.6,DID4744,,16.3,3.04,366,Yes,CAM8,Cash,On Time,Yes,1/1/2023 14:00
OID100015,CID9682,Kolkata,RID186,Restaurant_69,Chinese,467.68,47,3.5,DID4954,2.6,8.5,5.28,204,Yes,CAM3,Cash,On Time,No,1/1/2023 15:00
OID100016,CID1990,Surat,RID50,Restaurant_5,South Indian,577.52,43,2.9,DID4256,3.4,14.8,7.16,232,No,CAM1,Credit Card,On Time,Yes,1/1/2023 16:00
OID100017,CID7645,Surat,RID186,Restaurant_157,Continental,223.29,32,5,DID4551,2.8,10.8,2.58,268,No,CAM19,Credit Card,Cancelled,Yes,1/1/2023 17:00
OID100018,CID5472,Ahmedabad,RID28,Restaurant_113,Mexican,650.08,34,2.8,DID3987,3.4,12.7,4.07,139,Yes,CAM14,Net Banking,On Time,No,1/1/2023 18:00
OID100019,CID9940,Kolkata,RID127,Restaurant_144,Thai,628.49,14,3.4,DID3653,4,12.3,4.03,245,Yes,CAM5,Cash,On Time,Yes,1/1/2023 19:00
OID100020,CID8133,Mumbai,RID182,Restaurant_119,Fast Food,510.34,25,2,DID2528,,8.8,3.78,306,Yes,CAM6,Cash,On Time,Yes,1/1/2023 20:00
OID100021,CID1637,Jaipur,RID74,Restaurant_53,North Indian,667.27,38,3,DID4921,4.7,15.8,6.1,56,No,CAM16,UPI,On Time,No,1/1/2023 21:00
OID100022,CID8033,Hyderabad,RID175,Restaurant_167,Street Food,151.51,37,2.2,DID4889,4,16.9,6.26,85,Yes,CAM5,Credit Card,Cancelled,No,1/1/2023 22:00
OID100023,CID8336,Ahmedabad,RID187,Restaurant_144,Street Food,321.33,47,4.2,DID1045,3.2,17.7,5.31,260,Yes,CAM17,Net Banking,On Time,No,1/1/2023 23:00
OID100024,CID4174,Kolkata,RID169,Restaurant_128,Biryani,289.7,31,3.7,DID3267,3.3,15.9,5.22,178,Yes,CAM10,Net Banking,Late,Yes,1/2/2023 0:00
OID100025,CID9977,Bangalore,RID37,Restaurant_25,Thai,508.22,15,3.7,DID4583,,22.8,3.38,169,No,CAM16,Credit Card,Cancelled,No,1/2/2023 1:00
OID100026,CID4588,Indore,RID113,Restaurant_138,Continental,242.48,45,2.9,DID3273,3.1,8.6,5.16,174,Yes,CAM14,Net Banking,On Time,Yes,1/2/2023 2:00
OID100027,CID5118,Lucknow,RID187,Restaurant_52,Chinese,513.62,49,4.4,DID1579,2.5,18.4,1.93,110,No,CAM11,Wallet,Late,No,1/2/2023 3:00
OID100028,CID5908,Pune,RID28,Restaurant_163,Thai,605.58,43,2,DID1504,2.6,22.7,9.46,167,Yes,CAM15,Net Banking,On Time,No,1/2/2023 4:00
OID100029,CID9879,Delhi,RID136,Restaurant_74,Biryani,504.28,30,3,DID1171,3.4,8.7,7.2,94,No,CAM1,Net Banking,Cancelled,Yes,1/2/2023 5:00
OID100030,CID9247,Ahmedabad,RID59,Restaurant_31,Continental,442.56,45,4,DID1020,2.8,16.4,6.41,305,No,CAM10,Cash,Late,No,1/2/2023 6:00
OID100031,CID4198,Kolkata,RID34,Restaurant_194,Chinese,251.82,73,4.7,DID3345,2.6,18,5.32,211,No,CAM4,Credit Card,Cancelled,Yes,1/2/2023 7:00
OID100032,CID9964,Surat,RID38,Restaurant_15,North Indian,272.97,33,2.7,DID3443,4.6,11.2,5.32,209,Yes,CAM5,UPI,Cancelled,Yes,1/2/2023 8:00
OID100033,CID5974,Ahmedabad,RID175,Restaurant_14,Fast Food,587.44,16,3.6,DID2614,3.2,12.3,1.12,253,Yes,CAM2,UPI,On Time,No,1/2/2023 9:00
OID100034,CID3897,Indore,RID72,Restaurant_164,South Indian,516.9,25,3.6,DID3200,3.8,21.4,1.98,423,Yes,CAM2,Wallet,On Time,Yes,1/2/2023 10:00
OID100035,CID6208,Mumbai,RID7,Restaurant_2,Mexican,394.15,40,4.6,DID3242,2.9,17.6,2.23,116,Yes,CAM20,Cash,On Time,Yes,1/2/2023 11:00
